session_id,user_query,url,title,snippet
4,"In Arizona what dessert is the Organ Pipe Cactus Monument in arizona found
",https://www.usatoday.com/border-wall/story/immigration-mexico-border-deaths-organ-pipe-cactus/608910001/,"Border crossers, and the desert that claims them","Organ Pipe Cactus National Monument, Arizona ... To support groundbreaking journalism like ""The Wall,"" find one of the more than 100 USA TODAY NETWORK..."
4,"In Arizona what dessert is the Organ Pipe Cactus Monument in arizona found
",https://www.theguardian.com/us-news/2015/oct/15/organ-pipe-national-monument-migrants-mexico,Arizona's Organ Pipe park is a 'paradise' for tourists but a death trap ...,"Oct 15, 2015 ... Arizona's Sonoran Desert and Organ Pipe Cactus National Monument ... An identical-sized pamphlet on cheap paper, which you find in Mexican..."
4,"In Arizona what dessert is the Organ Pipe Cactus Monument in arizona found
",https://www.tripadvisor.com/LocationPhotoDirectLink-g60924-d143229-i37307658-Organ_Pipe_Cactus_National_Monument-Ajo_Arizona.html,"Giant cactus, organ pipe, arizona, with car - Picture of Organ Pipe ...","Organ Pipe Cactus National Monument, Ajo Picture: Giant cactus, organ pipe, arizona, with car - Check out Tripadvisor members' 650 candid photos and videos..."
4,"In Arizona what dessert is the Organ Pipe Cactus Monument in arizona found
",https://www.instagram.com/p/CroiVDWy9_U/,"Lael Wilcox on Instagram: ""First 6 days riding from Tucson, Arizona ...","664 miles (1,069km) 25790' of climbing (7,861 meters) I left from home last Sunday and Rue met me at Organ Pipe Cactus National Monument to camp."
5,"Witch desert was the Organ Pipe Cactus in
",https://cals.arizona.edu/herbarium/sites/cals.arizona.edu.herbarium/files/old_site/assoc/people/rfelger/CANOTIA_2012_Vol_8_Felger_et_al-7.pdf,Checklist of Vascular Plants of Organ Pipe Cactus National,"Key words: Sonoran Desert, flora, Arizona, Organ Pipe Cactus National Monument,. Cabeza Prieta National Wildlife Refuge, Tinajas Altas, non-native species,..."
5,"Witch desert was the Organ Pipe Cactus in
",https://www.pinterest.com/pin/105342078758771183/,Desert Southwest | Travels in America's Southwestern Deserts ...,"A Zebra-tailed Lizard (Callisaurus draconoides)in Organ Pipe Cactus National Monument, Arizona."
5,"Witch desert was the Organ Pipe Cactus in
",https://specialtyproduce.com/produce/Organ_Pipe_Cactus_Fruit_13779.php,Organ Pipe Cactus Fruit Information and Facts,Nutritional Value. Organ Pipe cactus has predominately been used as a source of calories and hydration in the desert regions where it has long been grown. Organ...
5,"Witch desert was the Organ Pipe Cactus in
",https://sonoranwitch.tumblr.com/,Desert Witchcraft on Tumblr,"... and the occasional picture. If it has to do with Desert-based green witchcraft, it'll be here. ... Organ Pipe Cactus National Monument, Arizona."
5,"Witch desert was the Organ Pipe Cactus in
",https://www.wildflower.org/plants/result.php?id_plant=STTH3,Stenocereus thurberi (Organpipe cactus) | Native Plants of North ...,"Oct 6, 2010 ... This cactus branches at the base, which gives the stems the appearance of organ pipes. Since these sentinels of the desert are very..."
6,"the name of the desert in arizona that borders mexico That also has the Organ Pipe Cactus in it
",https://www.nps.gov/orpi/,Organ Pipe Cactus National Monument (U.S. National Park Service),"Dec 19, 2022 ... South Puerto Blanco Road is temporarily closed to support ongoing U.S. Customs and Border Protection operations. This closure includes North..."
6,"the name of the desert in arizona that borders mexico That also has the Organ Pipe Cactus in it
",https://en.wikipedia.org/wiki/Organ_Pipe_Cactus_National_Monument,Organ Pipe Cactus National Monument - Wikipedia,"The first 30-foot (9.1 m) panels of a new Arizona, US-Mexico border wall were installed in August 2019 on a two-mile (3.2 km) stretch of Organ Pipe Cactus..."
6,"the name of the desert in arizona that borders mexico That also has the Organ Pipe Cactus in it
",https://www.usatoday.com/border-wall/story/immigration-mexico-border-deaths-organ-pipe-cactus/608910001/,"Border crossers, and the desert that claims them","Border crossings: A deadly desert: More barriers along the Mexican border can force illegal immigrants to ... Organ Pipe Cactus National Monument, Arizona."
6,"the name of the desert in arizona that borders mexico That also has the Organ Pipe Cactus in it
",https://www.theguardian.com/us-news/2015/oct/15/organ-pipe-national-monument-migrants-mexico,Arizona's Organ Pipe park is a 'paradise' for tourists but a death trap ...,"Oct 15, 2015 ... Arizona's Sonoran Desert and Organ Pipe Cactus National Monument ... We had this Mexican family who called us for months asking if we knew..."
6,"the name of the desert in arizona that borders mexico That also has the Organ Pipe Cactus in it
",https://en.unesco.org/biosphere/eu-na/organ-pipe-cactus,"Sonoran Desert Biosphere Reserve, United States of America",Sonoran Desert Biosphere Reserve and National Monument is situated in the Sonoran desert in southwestern Arizona at the border to Mexico.
7,"when was the last time the capulin volcano erupted 
",https://earthobservatory.nasa.gov/images/88581/capulin-volcano-national-monument,Capulin Volcano National Monument,"Aug 23, 2016 ... Capulin last erupted roughly 56,000 to 62,000 years ago. The volcano sits near the center of the Raton-Clayton field, a cluster of smaller..."
7,"when was the last time the capulin volcano erupted 
",https://www.nps.gov/cavo/learn/nature/geologicactivity.htm,Geologic Activity - Capulin Volcano National Monument (U.S. ...,"Mar 10, 2022 ... Capulin Volcano is a cinder cone volcano that erupted into existence around 60,000 years ago. After its eruption ended, Capulin Volcano..."
7,"when was the last time the capulin volcano erupted 
",https://nmnaturalhistory.org/volcanoes/raton-clayton-volcanic-field-capulin-volcano,Raton-Clayton Volcanic Field: Capulin Volcano | New Mexico ...,"It is similar in size and morphology, and probably eruptive characteristics, to Paricutin volcano, Mexico which erupted in 1943. A detailed study of Capulin (..."
7,"when was the last time the capulin volcano erupted 
",https://www.nps.gov/cavo/learn/nature/volcanic-fields.htm,Volcanic Fields - Capulin Volcano National Monument (U.S. ...,"Apr 20, 2020 ... Eruptions in the RCVF began approximately 9 million years ago, with Capulin's eruption taking place between 56,000 and 62,000 years ago."
7,"when was the last time the capulin volcano erupted 
",https://newmexiconomad.com/capulin-volcano/,New Mexico National Monuments : Capulin Volcano,"The eruption of Capulin, approximately 60,000 years ago, was one of the most recent eruptions. Overall, the RCVF is considered dormant and individual volcanic..."
8,"how many people died in the johnstown flood
",https://www.census.gov/history/www/homepage_archive/2019/may_2019.html,May 2019 - History - U.S. Census Bureau,"May 31, 2019 ... When the water subsided, 2,208 people were dead, making the ""Johnstown Flood"" the deadliest disaster in U.S. history until the 1900 Galveston..."
8,"how many people died in the johnstown flood
",https://www.jaha.org/attractions/johnstown-flood-museum/flood-history/facts-about-the-1889-flood/,Facts about the 1889 Flood - Johnstown Area Heritage Association,"Statistics about the great disaster  2,209 people died.  99 entire families died, including 396 children  124 women and 198 men were left widowed.  More than..."
8,"how many people died in the johnstown flood
",https://www.nps.gov/jofl/faqs.htm,Frequently Asked Questions - Johnstown Flood National Memorial ...,"Mar 12, 2022 ... The three remembered most happened on May 31, 1889, when at least 2,209 people died, the St. Patrick's Day flood of 1936, in which almost two..."
8,"how many people died in the johnstown flood
",https://en.wikipedia.org/wiki/Johnstown_Flood,Johnstown Flood - Wikipedia,"Seven counties were declared a disaster area, suffering $200 million in property damage, and 78 people died. Forty were killed by the Laurel Run Dam failure."
8,"how many people died in the johnstown flood
",https://www.history.com/this-day-in-history/the-johnstown-flood,"Over 2,000 die in the Johnstown Flood","The South Fork Dam in Pennsylvania collapses on May 31, 1889, causing the Johnstown Flood, killing more than 2,200 people. Johnstown is 60 miles east of..."
9,"what is the desert in arizona that the organ pip cactus is held in
",https://www.nps.gov/orpi/learn/nature/saguaro-cactus.htm,Saguaro Cactus - Organ Pipe Cactus National Monument (U.S. ...,"Dec 19, 2022 ... As a desert indicator species, the range of the saguaro cactus is limited to southern Arizona. Saguaro cactus will grow from sea level to..."
9,"what is the desert in arizona that the organ pip cactus is held in
",https://www.national-park.com/welcome-to-organ-pipe-cactus-national-park/,Welcome to Organ Pipe Cactus National Park,"Apr 28, 2016 ... Travel by car. From the North: Follow AZ Hwy 85 through Ajo and Why. The Monument is 22 miles (35.4 km) south of Why."
9,"what is the desert in arizona that the organ pip cactus is held in
",https://www.nps.gov/orpi/learn/nature/biosphere.htm,Organ Pipe Cactus International Biosphere Reserve - Organ Pipe ...,"Sep 6, 2016 ... The reserves would conserve samples of the world's ecosystems such as a tropical forest, prairie grassland, coral reef, river system, or desert."
9,"what is the desert in arizona that the organ pip cactus is held in
",https://www.desertmuseum.org/center/salttrails.php,The Ancient Salt Trails and Oases Project,"Marie Long & Jess Manuel Garca-Ynez, Arizona-Sonora Desert Museum, Peter Holm, Organ Pipe Cactus National Monument, Federico Godinez Leal, Pinacate Biosphere..."
9,"what is the desert in arizona that the organ pip cactus is held in
",https://www.npca.org/articles/1006-pipe-dreams,Pipe Dreams · National Parks Conservation Association,"In time, I learned to lead with Sonoran Desert and quickly explain that there's a national park unit in southern Arizona called Organ Pipe Cactus National..."
10,"organ pipe cactus national monument
",https://www.nps.gov/orpi/,Organ Pipe Cactus National Monument (U.S. National Park Service),"Dec 19, 2022 ... The sights and sounds of Organ Pipe Cactus National Monument, an International Biosphere Reserve, reveal a thriving community of plants and..."
10,"organ pipe cactus national monument
",https://en.wikipedia.org/wiki/Organ_Pipe_Cactus_National_Monument,Organ Pipe Cactus National Monument - Wikipedia,Organ Pipe Cactus National Monument is a U.S. national monument and UNESCO biosphere reserve located in extreme southern Arizona that shares a border with...
10,"organ pipe cactus national monument
",https://www.nps.gov/orpi/planyourvisit/camping.htm,Camping - Organ Pipe Cactus National Monument (U.S. National ...,"Dec 19, 2022 ... Water is not available and fires are not permitted. Camping permits are $16.00 per night. Holders of the Senior or Access Pass receive a 50%..."
10,"organ pipe cactus national monument
",https://www.visitarizona.com/places/parks-monuments/organ-pipe-cactus-national-monument/,Organ Pipe Cactus National Monument,"Roosevelt established Organ Pipe Cactus National Monument, an area spanning more than 330,000 acres of the Sonoran Desert in southwestern Arizona. Home to over..."
10,"organ pipe cactus national monument
",https://www.nps.gov/orpi/planyourvisit/basicinfo.htm,Basic Information - Organ Pipe Cactus National Monument (U.S. ...,"Dec 19, 2022 ... This 330,000 acre monument was set aside in 1937 to preserve a pristine example of Sonoran Desert. Organ Pipe Cactus National Monument..."
11,"what country is the roosevelt campobello in
",https://www.rooseveltcampobello.org/,Roosevelt Campobello International Park,"Roosevelt Campobello International Park is a singular example of international cooperation - jointly administered, staffed, and funded by the peoples of..."
11,"what country is the roosevelt campobello in
",https://www.nps.gov/nr/travel/presidents/roosevelts_campobello.html,Roosevelt's Campobello--Presidents: A Discover Our Shared ...,Today Roosevelt Campobello International Park honors his memory and ... It is the only park in the world owned by the peoples of two countries and...
11,"what country is the roosevelt campobello in
",https://en.wikipedia.org/wiki/Roosevelt_Campobello_International_Park,Roosevelt Campobello International Park - Wikipedia,Both countries provide equal financial support to the park. It is an affiliated area of Parks Canada and of the U.S. National Park Service. According to the...
11,"what country is the roosevelt campobello in
",https://www.nps.gov/roca/,Roosevelt Campobello International Park (U.S. National Park Service),"Feb 19, 2016 ... Roosevelt's ""Beloved Island"" Memorial. For many years, Franklin D. Roosevelt summered on Campobello Island. As an adult, he shared with his..."
11,"what country is the roosevelt campobello in
",https://www.tripadvisor.com/Attraction_Review-g499174-d487927-Reviews-Roosevelt_Campobello_International_Park-Campobello_Island_New_Brunswick.html,Roosevelt Campobello International Park (Campobello Island) - All ...,You will come away from this visit with a greater understanding of what the nation went through during FDR's time and how he basically saved the country.
12,"everglades national park
",https://www.nps.gov/ever/,Everglades National Park (U.S. National Park Service),"Jan 9, 2023 ... Everglades National Park protects an unparalleled landscape that provides important habitat for numerous rare and endangered species like..."
12,"everglades national park
",https://en.wikipedia.org/wiki/Everglades_National_Park,Everglades National Park - Wikipedia,Everglades National Park is an American national park that protects the southern twenty percent of the original Everglades in Florida. The park is the...
12,"everglades national park
",https://www.nps.gov/ever/planyourvisit/index.htm,Plan Your Visit - Everglades National Park (U.S. National Park ...,"Welcome to Everglades National Park! ... The Everglades is an expansive area of land in south Florida, which consists of 1.5 million acres of wetland. Since the..."
12,"everglades national park
",https://whc.unesco.org/en/list/76/,Everglades National Park - UNESCO World Heritage Centre,Everglades National Park is the largest designated sub-tropical wilderness reserve on the North American continent. Its juncture at the interface of temperate...
12,"everglades national park
",https://www.nps.gov/ever/planyourvisit/things2do.htm,Things To Do - Everglades National Park (U.S. National Park Service),"Everglades National Park is the third largest park in the lower 48 states, covering 2,400 square miles! ... There is no shortage of activities for individuals,..."
13,"what country  is the Roosevelt Campobello international park in
",https://www.nps.gov/roca/,Roosevelt Campobello International Park (U.S. National Park Service),"Feb 19, 2016 ... Today Roosevelt Campobello International Park serves as a memorial to FDR and a symbol of cooperation between the U.S. and Canada."
13,"what country  is the Roosevelt Campobello international park in
",https://www.rooseveltcampobello.org/,Roosevelt Campobello International Park,"Roosevelt Campobello International Park is a singular example of international cooperation - jointly administered, staffed, and funded by the peoples of..."
13,"what country  is the Roosevelt Campobello international park in
",https://en.wikipedia.org/wiki/Roosevelt_Campobello_International_Park,Roosevelt Campobello International Park - Wikipedia,"Roosevelt Campobello International Park preserves the house and surrounding landscape of the summer retreat of Franklin D. Roosevelt, Eleanor Roosevelt and..."
13,"what country  is the Roosevelt Campobello international park in
",https://www.rooseveltcampobello.org/about-visitor-information,Visitor Information — Roosevelt Campobello International Park,"Campobello Island is located in the province of New Brunswick, Canada, and if travelling via the FDR International Bridge from Lubec, Maine, it is necessary to..."
13,"what country  is the Roosevelt Campobello international park in
",https://www.tripadvisor.com/Attraction_Review-g499174-d487927-Reviews-Roosevelt_Campobello_International_Park-Campobello_Island_New_Brunswick.html,Roosevelt Campobello International Park (Campobello Island) - All ...,"Roosevelt Campobello International Park ... Walk in the footsteps of the Roosevelts, visit Franklin's Beloved Island. The Summer Home of President Franklin D."
14,"what is the name of the organ pipe cactis desert
",https://www.nps.gov/orpi/,Organ Pipe Cactus National Monument (U.S. National Park Service),"Dec 19, 2022 ... Life Abounds in the Sonoran Desert ... Look closely. Look again. The sights and sounds of Organ Pipe Cactus National Monument, an International..."
14,"what is the name of the organ pipe cactis desert
",https://uapress.arizona.edu/book/the-organ-pipe-cactus,Organ Pipe Cactus | UAPress,"... pipe cactus got its name. In the United States, these spectacular and intriguing plants are found exclusively in a small area of the Sonoran Desert in..."
14,"what is the name of the organ pipe cactis desert
",https://www.nps.gov/orpi/learn/nature/organ-pipe-cactus.htm,Organ Pipe Cactus,"Dec 19, 2022 ... The organ pipe cactus is a wonderful example of the adaptations that cacti need to flourish in the Sonoran Desert. Like its fellow cacti and..."
14,"what is the name of the organ pipe cactis desert
",https://en.wikipedia.org/wiki/Organ_Pipe_Cactus_National_Monument,Organ Pipe Cactus National Monument - Wikipedia,Organ Pipe Cactus National Monument is a U.S. national monument and UNESCO biosphere reserve located in extreme southern Arizona that shares a border with...
14,"what is the name of the organ pipe cactis desert
",https://www.nps.gov/articles/organ-pipe-cactus.htm,Organ Pipe Cactus (U.S. National Park Service),"Oct 3, 2016 ... The namesake species of Organ Pipe Cactus National Monument, the organ pipe cactus (Stenocereus thurberi) is the second-largest columnar..."
15,"when was last time time volcano erupted in new mexico
",https://earthobservatory.nasa.gov/images/88581/capulin-volcano-national-monument,Capulin Volcano National Monument,"Aug 23, 2016 ... Capulin last erupted roughly 56,000 to 62,000 years ago. The volcano sits near the center of the Raton-Clayton field, a cluster of smaller..."
15,"when was last time time volcano erupted in new mexico
",https://geoinfo.nmt.edu/faq/volcanoes/,FAQ: Volcanoes,"May 4, 2022 ... Well known extinct volcanoes in New Mexico include Mount Taylor, the Jemez Mountains, the Albuquerque volcanoes, and Capulin volcano. Lava flows..."
15,"when was last time time volcano erupted in new mexico
",https://nmnaturalhistory.org/volcanoes/new-mexico-land-volcanoes,New Mexico: Land of Volcanoes | New Mexico Museum of Natural ...,The region remains tectonically active so continued volcanic eruptions separated by significant intervals (1000s of years) are likely. Volcanism in New Mexico...
15,"when was last time time volcano erupted in new mexico
",https://www.nmnaturalhistory.org/online-exhibits-geoscience/volcanoes-new-mexico,The Volcanoes of New Mexico | New Mexico Museum of Natural ...,Capulin Volcano National Monument  El Malpais National Monument and Zuni Bandera Volcanic Field  Petroglyph National Monument  Rio Puerco Volcanic Necks  Valles...
15,"when was last time time volcano erupted in new mexico
",https://www.nps.gov/cavo/learn/nature/geologicactivity.htm,Geologic Activity - Capulin Volcano National Monument (U.S. ...,"Mar 10, 2022 ... Capulin Volcano is a cinder cone volcano that erupted into existence around 60,000 years ago. After its eruption ended, Capulin Volcano became..."
16,"when was last time capulin erupted
",https://earthobservatory.nasa.gov/images/88581/capulin-volcano-national-monument,Capulin Volcano National Monument,"Aug 23, 2016 ... Capulin last erupted roughly 56,000 to 62,000 years ago. The volcano sits near the center of the Raton-Clayton field, a cluster of smaller..."
16,"when was last time capulin erupted
",https://www.nps.gov/cavo/learn/nature/geologicactivity.htm,Geologic Activity - Capulin Volcano National Monument (U.S. ...,"Mar 10, 2022 ... Capulin Volcano is a cinder cone volcano that erupted into existence around 60,000 years ago. After its eruption ended, Capulin Volcano became..."
16,"when was last time capulin erupted
",https://newmexiconomad.com/capulin-volcano/,New Mexico National Monuments : Capulin Volcano,"The eruption of Capulin, approximately 60,000 years ago, was one of the most recent eruptions. Overall, the RCVF is considered dormant and individual volcanic..."
